,gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,redWardsPlaced,redWardsDestroyed,redAssists,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled
0,4519157822,0,3,1,1,9,6,11,0,0,0,17210,17039,195,36,1,3,8,0,0,0,16567,17047,197,55
1,4523371949,0,0,0,0,5,5,5,0,0,0,14712,16265,174,43,0,0,2,1,1,1,17620,17438,240,52
2,4521474530,0,1,0,0,7,11,4,1,0,0,16113,16221,186,46,1,1,14,0,0,0,17285,17254,203,28
3,4524384067,0,3,0,0,4,5,5,0,1,0,15157,17954,201,55,1,1,10,0,0,0,16478,17961,235,47
4,4436033771,0,3,2,0,6,6,6,0,0,0,16400,18543,210,57,2,1,7,1,0,0,17404,18313,225,67
5,4475365709,1,2,0,0,5,3,6,1,0,0,15899,18161,225,42,3,3,2,0,0,0,15201,18060,221,59
6,4493010632,1,2,1,1,7,6,7,1,0,0,16874,16967,225,53,3,0,9,0,0,0,14463,15404,164,35
7,4496759358,0,1,1,0,5,13,3,0,0,0,15305,16138,209,48,1,0,11,1,0,0,17920,16938,157,54
8,4443048030,0,1,1,0,7,7,8,0,0,0,16401,18527,189,61,1,1,5,1,1,0,18380,19298,240,53
9,4509433346,1,0,0,1,4,5,5,1,0,0,15057,16805,220,39,1,1,4,0,0,0,16605,18379,247,43
10,4452162573,0,2,1,1,4,4,6,0,0,0,15474,16611,231,28,1,1,5,1,0,0,15143,18196,216,51
11,4453038156,0,3,1,1,11,11,7,0,1,0,16695,18507,157,40,2,0,9,0,0,0,18200,19142,188,52
12,4515594785,1,2,0,1,7,1,11,1,0,0,17865,19102,238,53,0,0,1,0,0,0,14591,17443,240,50
13,4524924257,0,0,1,0,4,9,1,0,1,0,14979,17213,210,52,2,1,11,0,0,0,18393,18354,229,51
14,4516505202,1,1,1,1,4,4,4,0,0,0,15722,17896,224,51,3,0,3,0,0,0,16192,18083,242,48
15,4482120064,0,2,0,0,3,7,3,0,0,0,15015,16974,209,53,2,1,13,0,0,0,17011,18778,237,51
